Message,Category
Win cash prize now,Spam
Hello friend how are you,Ham
Claim your free reward,Spam
Let us meet tomorrow,Ham
Congratulations you won lottery,Spam
Are you coming to class,Ham
Free entry in competition,Spam
Good morning have a nice day,Ham
Limited time offer buy now,Spam
See you at the meeting,Ham
Urgent! Your account is blocked,Spam
Happy birthday dear friend,Ham
You have won a free ticket,Spam
Can we discuss the project tomorrow,Ham
Exclusive reward waiting for you,Spam
Thanks for your help, Ham
